模型参数 (Model Parameter),英文术语 (English Term),中文翻译 (Chinese Translation),别名 (Alias),说明 (Explanation)
i_iss.I[1],I_ISS Tritium Inventory,同位素分离I路,Inner-Loop ISS Inventory / Cryogenic Distillation Inventory,同位素分离I路(I_ISS)子部件的氚盘存量。
i_iss.T,I_ISS Mean Residence Time,同位素分离I路 平均滞留时间,Separation Time Constant,工艺延迟，I_ISS（低温精馏）是主要的库存持有者。
i_iss.threshold,I_ISS Threshold,同位素分离I路 铺底量,Column Holdup / Liquid Inventory,关键启动库存，I_ISS精馏塔平衡所需的最小气体量。
i_iss.to_WDS_Fraction,I_ISS Fraction to WDS,同位素分离I路 输出到WDS的比例,Waste Stream Fraction,从I_ISS分离出的含氚废水（或其他废料）比例。
O_ISS (同位素分离O路),,,,
o_iss.I[1],O_ISS Tritium Inventory,同位素分离O路,Outer-Loop ISS Inventory,同位素分离O路(O_ISS)子部件的氚盘存量。
o_iss.T,O_ISS Mean Residence Time,同位素分离O路 平均滞留时间,Processing Time,工艺延迟，O_ISS处理来自冷却剂和包层的低浓度氚流。
o_iss.threshold,O_ISS Threshold,同位素分离O路 铺底量,Minimum Operating Level,关键启动库存，O_ISS精馏塔平衡所需的最小气体量。
Plasma (等离子体),,,,"(无盘存量, 为纯计算模型)"
plasma.fb,Plasma Burn Fraction,等离子体 燃烧分数,Burn Efficiency / Fractional Burn-up,等离子体效率：注入燃料中实际聚变的比例。
plasma.nf,Plasma Fueling Efficiency,等离子体 燃料效率,Fuelling Efficiency,注入燃料中实际进入芯部的比例。
plasma.to_Div_fraction,Plasma Fraction to Divertor,等离子体 流向偏滤器的比例,Divertor Flux Fraction,渗透源头：未燃燃料撞击偏滤器的比例。
plasma.to_FW_fraction,Plasma Fraction to First Wall,等离子体 流向第一壁的比例,Wall Flux Fraction,渗透源头：未燃燃料撞击第一壁的比例。
plasma.He_yield,Plasma Helium Yield,等离子体 氦产额,Ash Production Rate,D-T聚变的化学计量常数（He/DT质量比）。
Pump_System (真空泵系统),,,,
pump_System.I[1],Pump_System Tritium Inventory,真空泵系统,Vacuum Pump Inventory / Cryopump Hold-up,真空泵系统(Pump_System)子部件的氚盘存量。
pump_System.T,Pump_System Mean Residence Time,真空泵系统 平均滞留时间,Pumping Speed Equivalent,废气在真空泵系统(Pump_System)中的滞留时间。
pump_System.threshold,Pump_System Threshold,真空泵系统 铺底量,Regeneration Limit,真空泵系统(Pump_System)或下游TEP启动运行所需的最小气体量。
SDS (储存与输送系统),,,,
sds.I[1],SDS Tritium Inventory,储存与输送系统,Storage Bed Inventory / Reserve Inventory,储存与输送系统(SDS)子部件的氚盘存量。
sds.decay_loss,SDS Tritium Decay Loss,储存与输送系统 放射性衰变损失,Storage Decay,储存与输送系统(SDS)这一中央库存的衰变损失。
TEP_FCU (氚工厂-最终处理),,,,
tep_fcu.I[1],TEP_FCU Tritium Inventory,氚工厂-最终处理,TEP Final Stage Inventory,氚工厂-最终处理(TEP_FCU)子部件的氚盘存量。
tep_fcu.T,TEP_FCU Mean Residence Time,氚工厂-最终处理 平均滞留时间,Purification Delay,废气在TEP_FCU（最终净化）阶段的工艺延迟。
TEP_FEP (氚工厂-前端处理),,,,
tep_fep.I[1],TEP_FEP Tritium Inventory,氚工厂-前端处理,Front-End Inventory,氚工厂-前端处理(TEP_FEP)子部件的氚盘存量。
tep_fep.T,TEP_FEP Mean Residence Time,氚工厂-前端处理 平均滞留时间,Clean-up Delay,废气在TEP_FEP（前端处理）阶段的工艺延迟。
tep_fep.to_SDS_Fraction,Direct Internal Recycling Fraction,直接内部循环比例,DIR Ratio / Bypass Fraction,旁路设计：从TEP_FEP可直接返回SDS的流量比例。
TEP_IP (氚工厂-中间处理),,,,
tep_ip.I[1],TEP_IP Tritium Inventory,氚工厂-中间处理,Impurity Processing Inventory,氚工厂-中间处理(TEP_IP)子部件的氚盘存量。
tep_ip.T,TEP_IP Mean Residence Time,氚工厂-中间处理 平均滞留时间,Reaction Time,废气在TEP_IP（中间处理）阶段的工艺延迟。
TES (氚提取系统-包层),,,,
tes.I[1],TES Tritium Inventory,氚提取系统,TES Bed Inventory,氚提取系统(TES)子部件的氚盘存量。
tes.T,TES Mean Residence Time,氚提取系统 平均滞留时间,Extraction Time Constant,包层吹扫气体在氚提取系统(TES)中的处理延迟。
tes.threshold,TES Threshold,氚提取系统 铺底量,TES Saturation Limit,氚提取系统(TES)（如吸附床）启动运行所需的最小氚量。
tes.to_O_ISS_Fraction,TES Fraction to O_ISS,氚提取系统 输出到O_ISS的比例,Recovery Efficiency,回收的氚从氚提取系统(TES)送往O_ISS的比例。
tes.to_BZ_Fraction,TES Fraction to BZ (Blanket),氚提取系统 输出到BZ的比例,Recirculation Fraction,“贫氚”吹扫气体从TES返回包层(BZ)的再循环比例。
WDS (水去氚系统),,,,
wds.I[1],WDS Tritium Inventory,水去氚系统,WDS Liquid Inventory / Water Distillation Inventory,水去氚系统(WDS)子部件的氚盘存量。
wds.T,WDS Mean Residence Time,水去氚系统 平均滞留时间,Detritiation Delay,最慢环节之一，水去氚系统(WDS)的工艺（如水精馏）延迟长。
wds.threshold,WDS Threshold,水去氚系统 铺底量,Column Liquid Hold-up,极高的启动库存，WDS精馏塔建立平衡所需的水量。
分析指标 (Analysis Indicators),,,,
Startup_Inventory,Start up Inventory,启动库存,Initial Loading / Day-0 Inventory,反应堆首次启动前必须提供的初始氚库存量。模型中的SDS.inventory(start=...)是其初始猜测值。
Required_TBR,Required Tritium Breeding Ratio,所需氚增殖比,TBR_req / Critical TBR,为实现氚自持（补偿衰变、处理损失并满足倍增时间需求）所必须达到的最低TBR。
Doubling_Time,Doubling Time,(库存)倍增时间,t_d / Inventory Doubling Time,一个反应堆产生足够启动另一个新反应堆所需氚库存的时间，是评估聚变能部署速度的指标。
Self_Sufficiency_Time,Self Sufficiency Time,(氚)自持时间,Breakeven Time / Turnaround Time,氚库存由下降趋势转变为上升趋势时即拐点的时间
..._for_Required_TBR,... for Required Tritium Breeding Ratio,满足所需TBR所达到的...,-,在约束条件下（比如倍增时间）满足所需TBR时的实际条件（倍增时间）
